"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.003522093,0.6483027,0.0001314337,2.199155E-05,0.0110482,1.17893,0.0004317973,9.83922E-05,0,0,0,0
0,12,0.02399882,0.9716294,0.0008503725,0.0002221279,0.04458913,1.437009,0.001628547,0.000514389,0,0,0,0
0,18,0.0587149,1.18103,0.001965998,0.0005889692,0.08844195,1.627511,0.003061513,0.001089825,0,0,0,0
0,24,0.1001328,1.342625,0.00322093,0.00101564,0.1353529,1.785831,0.004514622,0.001694008,0,0,0,0
0,30,0.1435688,1.478772,0.004487625,0.00144017,0.1821223,1.924238,0.005914186,0.002269815,0,0,0,0
0,36,0.1866677,1.598742,0.005713113,0.001837502,0.2273554,2.048332,0.007237964,0.002797544,0,0,0,0
0,42,0.2283125,1.706968,0.006877035,0.002200612,0.2704503,2.161149,0.008478879,0.003274048,0,0,0,0
0,48,0.2680017,1.80588,0.007976213,0.002529718,0.3111804,2.26459,0.009641984,0.003702222,0,0,0,0
0,54,0.3055465,1.897022,0.009008466,0.002828068,0.3495092,2.360007,0.01072638,0.004087742,0,0,0,0
0,60,0.3409217,1.981499,0.009975109,0.00309951,0.3855006,2.448447,0.01173929,0.004435844,0,0,0,0
0,66,0.3738095,1.410119,0.0108804,0.003350032,0.4179567,1.345696,0.01268047,0.00476204,0,0,0,0
0,72,0.4017124,1.149989,0.01168137,0.003601252,0.4432053,1.145448,0.01345143,0.005103217,0,0,0,0
0,78,0.4227413,0.9924162,0.01231309,0.003869336,0.4605172,1.003268,0.01399919,0.005469512,0,0,0,0
0,84,0.4367962,0.8765697,0.01275259,0.004152648,0.4706324,0.8896421,0.01432747,0.005849947,0,0,0,0
0,90,0.4445911,0.7835608,0.01300967,0.004439776,0.4746329,0.7949136,0.01446446,0.006225432,0,0,0,0
0,96,0.447066,0.705743,0.01310832,0.004716823,0.4735968,0.7144135,0.01444386,0.006576758,0,0,0,0
0,102,0.4451612,0.6393915,0.01307606,0.004971343,0.4685064,0.6453581,0.01429786,0.006888343,0,0,0,0
0,108,0.4397389,0.582293,0.01293929,0.005194028,0.4602269,0.5858068,0.01405493,0.007149545,0,0,0,0
0,114,0.4315604,0.5328815,0.01272148,0.005379135,0.4495078,0.5342631,0.01373936,0.0073547,0,0,0,0
0,120,0.4212882,0.4899629,0.01244293,0.00552418,0.436993,0.489524,0.01337172,0.007502431,0,0,0,0
0,126,0.4094876,0.4526163,0.01212084,0.005629294,0.4232179,0.4506174,0.01296867,0.007594642,0,0,0,0
0,132,0.3966316,0.4200601,0.01176907,0.00569663,0.408635,0.4167197,0.01254274,0.007635769,0,0,0,0
0,138,0.38312,0.3916146,0.01139863,0.005729813,0.3936213,0.3871246,0.01210826,0.007631496,0,0,0,0
0,144,0.3692811,0.3667173,0.0110213,0.005732995,0.3784796,0.3612394,0.01167052,0.007588675,0,0,0,0
0,150,0.3553804,0.3448838,0.0106425,0.005711046,0.3634537,0.3385559,0.01123886,0.007514114,0,0,0,0
0,156,0.3416303,0.3257002,0.01026803,0.005668662,0.3487358,0.3186394,0.01081673,0.007414582,0,0,0,0
0,162,0.3281976,0.3088107,0.009903067,0.005610263,0.334474,0.301117,0.01040901,0.007296205,0,0,0,0
0,168,0.31521,0.2939094,0.009550356,0.005539944,0.3207786,0.285668,0.01001829,0.007164516,0,0,0,0
0,174,0.3027616,0.2807326,0.009212712,0.005461255,0.3077282,0.2720159,0.009646522,0.007024272,0,0,0,0
0,180,0.2909184,0.2690525,0.008891639,0.005377263,0.2953743,0.2599228,0.009295141,0.006879476,0,0,0,0
0,186,0.2797229,0.2586728,0.008588254,0.005290509,0.2837466,0.2491831,0.008964463,0.006733426,0,0,0,0
0,192,0.2691978,0.2494232,0.0083032,0.005203057,0.2728561,0.239619,0.008655437,0.006588686,0,0,0,0
0,198,0.2593499,0.2411569,0.008035641,0.00511661,0.2626992,0.2310773,0.008366241,0.006447398,0,0,0,0
0,204,0.2501732,0.2337463,0.007786475,0.005032351,0.2532608,0.223425,0.00809707,0.006311024,0,0,0,0
0,210,0.2416513,0.2270814,0.007555047,0.004951225,0.2445165,0.2165474,0.007848136,0.00618057,0,0,0,0
0,216,0.2337605,0.2210666,0.007340529,0.004873897,0.2364355,0.2103449,0.0076182,0.006056762,0,0,0,0
0,222,0.2264711,0.2156192,0.007142117,0.004800797,0.228982,0.2047317,0.007405585,0.00594007,0,0,0,0
0,228,0.2197495,0.2106674,0.006959002,0.004732169,0.2221177,0.1996331,0.007209664,0.005830657,0,0,0,0
0,234,0.21356,0.2061492,0.00679018,0.004668122,0.2158022,0.1949847,0.007029482,0.00572851,0,0,0,0
0,240,0.2078653,0.2020105,0.006634864,0.004608626,0.209995,0.1907305,0.006863507,0.005633518,0,0,0,0
0,246,0.2026283,0.1982046,0.006491922,0.0045536,0.2046558,0.1868219,0.006710786,0.005545437,0,0,0,0
0,252,0.1978121,0.1946911,0.006360396,0.004502881,0.1997456,0.183217,0.006570269,0.00546395,0,0,0,0
0,258,0.1933812,0.1914345,0.006239344,0.004456266,0.1952271,0.1798792,0.006440939,0.005388692,0,0,0,0
0,264,0.1893018,0.1884044,0.006127944,0.004413515,0.1910647,0.1767769,0.006321753,0.005319273,0,0,0,0
0,270,0.1855416,0.1855741,0.006025275,0.004374381,0.1872253,0.1738825,0.006211836,0.005255283,0,0,0,0
0,276,0.1820707,0.1829205,0.005930546,0.004338603,0.1836779,0.1711721,0.006110337,0.005196315,0,0,0,0
0,282,0.1788613,0.1804235,0.005843048,0.004305921,0.1803941,0.1686249,0.006016445,0.005141965,0,0,0,0
0,288,0.1758877,0.1780655,0.00576209,0.00427608,0.1773478,0.1662225,0.005929422,0.005091846,0,0,0,0
0,294,0.1731264,0.1758312,0.00568703,0.004248835,0.1745151,0.1639493,0.00584858,0.005045589,0,0,0,0
