"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.003522093,0.6483027,0.0001314337,2.199156E-05,0.0110482,1.17893,0.0004317973,9.839219E-05,0,0,0,0
0,12,0.02399882,0.9716294,0.0008503724,0.0002221278,0.04458912,1.437009,0.001628547,0.000514389,0,0,0,0
0,18,0.05871489,1.181029,0.001965998,0.0005889689,0.08844195,1.62751,0.003061513,0.001089825,0,0,0,0
0,24,0.1001328,1.342625,0.00322093,0.00101564,0.1353529,1.785831,0.004514623,0.001694008,0,0,0,0
0,30,0.1435688,1.478771,0.004487627,0.00144017,0.1821223,1.924238,0.005914208,0.002269815,0,0,0,0
0,36,0.1866677,1.598742,0.005713088,0.001837504,0.2273554,2.048332,0.007237919,0.002797548,0,0,0,0
0,42,0.2283125,1.706968,0.006877071,0.002200609,0.2704503,2.161149,0.008478396,0.003274083,0,0,0,0
0,48,0.2680017,1.80588,0.007976331,0.002529709,0.3111804,2.26459,0.009641339,0.003702261,0,0,0,0
0,54,0.3055465,1.897022,0.0090085,0.002828069,0.3495092,2.360007,0.01072748,0.004087687,0,0,0,0
0,60,0.3409217,1.981499,0.009975404,0.003099497,0.3855006,2.448447,0.01173948,0.004435908,0,0,0,0
0,66,0.3741899,2.060176,0.0108861,0.003347257,0.4192721,2.530765,0.01269578,0.004751056,0,0,0,0
0,72,0.4054598,2.133759,0.01173882,0.003575003,0.4509672,2.607683,0.01358752,0.005038802,0,0,0,0
0,78,0.4348625,2.202848,0.01254066,0.003785355,0.48074,2.679819,0.01442354,0.005302594,0,0,0,0
0,84,0.4625381,2.267954,0.0132952,0.003980713,0.5087461,2.74771,0.01520904,0.005545673,0,0,0,0
0,90,0.4886271,2.329523,0.01400643,0.004163082,0.5351366,2.811824,0.01594855,0.005770785,0,0,0,0
0,96,0.5132662,2.387947,0.01467817,0.004334167,0.5600557,2.872572,0.01664627,0.005980275,0,0,0,0
0,102,0.5365856,2.443566,0.01531396,0.004495409,0.5836388,2.930318,0.01730603,0.006176128,0,0,0,0
0,108,0.5587065,2.49668,0.01591708,0.004648015,0.6060107,2.985378,0.01793138,0.006360011,0,0,0,0
0,114,0.5797412,2.547551,0.01649056,0.004793023,0.6272861,3.038032,0.01852555,0.006533362,0,0,0,0
0,120,0.5997927,2.596411,0.01703716,0.004931306,0.6475698,3.088524,0.01909149,0.006697392,0,0,0,0
0,126,0.6187071,1.993354,0.01755849,0.005065531,0.6660955,1.951823,0.01962687,0.006861313,0,0,0,0
0,132,0.6348172,1.704672,0.01803429,0.005211143,0.6803301,1.720628,0.02008471,0.007052929,0,0,0,0
0,138,0.6467233,1.521002,0.0184228,0.005382376,0.689573,1.549942,0.02041853,0.007284367,0,0,0,0
0,144,0.654193,1.381156,0.01869881,0.005581352,0.6941507,1.409981,0.02061585,0.007551783,0,0,0,0
0,150,0.657568,1.265971,0.01885806,0.005802016,0.694662,1.290894,0.02068433,0.007843327,0,0,0,0
0,156,0.6573734,1.167683,0.01890866,0.006034887,0.6917359,1.187895,0.0206397,0.008144751,0,0,0,0
0,162,0.6541601,1.082409,0.01886404,0.006270061,0.6859636,1.098071,0.02049993,0.008442526,0,0,0,0
0,168,0.6484527,1.007845,0.01873937,0.006498693,0.677884,1.019377,0.02028284,0.008725249,0,0,0,0
0,174,0.6407311,0.9423553,0.01854967,0.006713699,0.6679807,0.950219,0.02000503,0.008984245,0,0,0,0
0,180,0.6314259,0.8846456,0.01830888,0.006909957,0.6566814,0.8892865,0.01968125,0.009213628,0,0,0,0
0,186,0.620919,0.8336467,0.01802953,0.007084216,0.6443644,0.8354736,0.01932465,0.009410042,0,0,0,0
0,192,0.6095453,0.7884979,0.01772261,0.007234828,0.631351,0.7878589,0.0189461,0.009572273,0,0,0,0
0,198,0.5975895,0.7484706,0.01739715,0.007361494,0.6179142,0.7456549,0.01855358,0.009700873,0,0,0,0
0,204,0.5852949,0.7129068,0.01705945,0.007465084,0.6042905,0.7081677,0.01815422,0.009797685,0,0,0,0
0,210,0.5728705,0.6812366,0.01671954,0.007546897,0.5906739,0.6747974,0.01776097,0.009864911,0,0,0,0
0,216,0.5604842,0.6529763,0.01638265,0.007608876,0.5772191,0.6450289,0.01737236,0.009906052,0,0,0,0
0,222,0.5482718,0.6277006,0.01604992,0.007653563,0.5640508,0.6184124,0.01699345,0.009924668,0,0,0,0
0,228,0.5363422,0.6050401,0.01572482,0.007683389,0.5512651,0.5945574,0.01662342,0.009924551,0,0,0,0
0,234,0.5247778,0.5846753,0.01540982,0.00770075,0.5389337,0.5731252,0.01627094,0.00990862,0,0,0,0
0,240,0.5136402,0.5663258,0.01510853,0.007707739,0.5271083,0.5538197,0.0159324,0.009880331,0,0,0,0
0,246,0.502973,0.5497478,0.01482063,0.007706557,0.5158226,0.5363836,0.01561239,0.009842316,0,0,0,0
0,252,0.4928041,0.5347283,0.01454721,0.007699023,0.5050963,0.520592,0.01530806,0.00979727,0,0,0,0
0,258,0.4831486,0.5210816,0.01428831,0.007686804,0.4949367,0.5062491,0.01502137,0.009747281,0,0,0,0
0,264,0.4740115,0.5086452,0.0140442,0.007671272,0.485342,0.4931835,0.01475123,0.009694208,0,0,0,0
0,270,0.4653892,0.4972771,0.01381457,0.007653607,0.4763024,0.4812456,0.0144978,0.009639545,0,0,0,0
0,276,0.4572716,0.486853,0.01359919,0.007634762,0.4678027,0.4703046,0.01426015,0.009584524,0,0,0,0
0,282,0.4496436,0.477264,0.01339744,0.007615521,0.4598228,0.4602459,0.01403789,0.009530108,0,0,0,0
0,288,0.4424862,0.4684148,0.01320893,0.007596487,0.4523397,0.450969,0.01383014,0.009477045,0,0,0,0
0,294,0.4357777,0.4602219,0.01303288,0.007578137,0.4453283,0.4423862,0.01363602,0.0094259,0,0,0,0
0,300,0.4294947,0.452612,0.01286854,0.007560828,0.438762,0.43442,0.01345477,0.009377076,0,0,0,0
0,306,0.4236129,0.4455204,0.01271524,0.007544815,0.4326138,0.4270027,0.01328559,0.009330847,0,0,0,0
0,312,0.4181072,0.4388909,0.01257231,0.007530261,0.4268564,0.420075,0.01312773,0.009287365,0,0,0,0
0,318,0.4129527,0.4326738,0.01243906,0.007517267,0.4214629,0.4135845,0.01298032,0.009246711,0,0,0,0
0,324,0.4081249,0.4268253,0.01231482,0.007505878,0.4164072,0.4074852,0.01284273,0.00920888,0,0,0,0
0,330,0.4036,0.4213071,0.01219892,0.007496099,0.4116642,0.4017367,0.01271411,0.009173839,0,0,0,0
0,336,0.3993553,0.4160849,0.01209069,0.007487912,0.4072098,0.396303,0.01259366,0.00914152,0,0,0,0
0,342,0.395369,0.411129,0.01198945,0.007481272,0.4030215,0.3911525,0.01248077,0.009111813,0,0,0,0
0,348,0.3916207,0.4064128,0.0118945,0.007476129,0.3990777,0.3862574,0.01237439,0.009084634,0,0,0,0
0,354,0.388091,0.4019127,0.01180537,0.007472399,0.3953585,0.3815928,0.01227457,0.00905979,0,0,0,0
0,360,0.3847617,0.3976083,0.01172184,0.007469974,0.3918451,0.377137,0.01218096,0.009037114,0,0,0,0
0,366,0.3816159,0.3934812,0.0116434,0.007468763,0.3885202,0.3728707,0.01209261,0.009016485,0,0,0,0
0,372,0.3786381,0.3895152,0.01156943,0.007468685,0.3853676,0.3687767,0.01200871,0.008997779,0,0,0,0
0,378,0.3758139,0.3856958,0.01149935,0.007469662,0.3823727,0.3648398,0.0119292,0.008980828,0,0,0,0
0,384,0.3731298,0.3820102,0.01143297,0.007471595,0.3795218,0.3610464,0.01185387,0.008965477,0,0,0,0
0,390,0.3705737,0.3784472,0.01137023,0.007474372,0.3768024,0.3573845,0.01178261,0.008951562,0,0,0,0
0,396,0.3681344,0.3749965,0.01131064,0.007477919,0.3742032,0.3538435,0.0117143,0.00893901,0,0,0,0
0,402,0.3658017,0.3716491,0.01125375,0.007482168,0.3717136,0.3504136,0.01164889,0.008927682,0,0,0,0
0,408,0.3635661,0.3683971,0.0111994,0.007487039,0.3693242,0.3470863,0.0115866,0.008917425,0,0,0,0
0,414,0.3614193,0.3652333,0.01114767,0.007492435,0.3670265,0.3438542,0.01152741,0.008908112,0,0,0,0
0,420,0.3593534,0.3621511,0.01109823,0.007498296,0.3648126,0.3407102,0.01147011,0.008899709,0,0,0,0
0,426,0.3573615,0.3591448,0.01105035,0.0075046,0.3626752,0.3376482,0.01141417,0.008892162,0,0,0,0
0,432,0.3554371,0.3562093,0.01100395,0.007511293,0.3606079,0.3346628,0.01136038,0.008885321,0,0,0,0
0,438,0.3535745,0.35334,0.01095916,0.007518299,0.3586049,0.3317491,0.01130859,0.008879102,0,0,0,0
0,444,0.3517684,0.3505327,0.01091604,0.007525553,0.3566609,0.3289024,0.0112585,0.008873432,0,0,0,0
0,450,0.3500142,0.3477835,0.01087433,0.007533013,0.3547711,0.3261189,0.01120971,0.008868256,0,0,0,0
0,456,0.3483075,0.3450892,0.01083374,0.007540653,0.3529312,0.3233949,0.01116225,0.008863511,0,0,0,0
0,462,0.3466445,0.3424466,0.01079419,0.007548436,0.3511372,0.320727,0.01111605,0.008859145,0,0,0,0
0,468,0.3450216,0.339853,0.0107557,0.007556324,0.3493856,0.3181124,0.01107111,0.008855102,0,0,0,0
0,474,0.3434357,0.3373059,0.01071813,0.007564291,0.3476732,0.3155482,0.01102705,0.008851354,0,0,0,0
0,480,0.341884,0.334803,0.01068133,0.007572315,0.345997,0.3130321,0.01098379,0.008847863,0,0,0,0
0,486,0.3421752,0.9818721,0.01070953,0.007582033,0.3504053,1.493715,0.01115855,0.008854426,0,0,0,0
0,492,0.3539991,1.30947,0.01109717,0.007623925,0.3723085,1.761214,0.01188323,0.008935468,0,0,0,0
0,498,0.3787364,1.526709,0.01184772,0.007726453,0.4056651,1.962892,0.01292438,0.009101526,0,0,0,0
0,504,0.4112379,1.696806,0.0127931,0.007876596,0.4439319,2.131526,0.01407247,0.00931886,0,0,0,0
0,510,0.4471769,1.840722,0.01380782,0.008051129,0.4835919,2.278732,0.01522781,0.009556859,0,0,0,0
0,516,0.4840262,1.967403,0.0148261,0.008233177,0.5229133,2.410172,0.01634938,0.009796922,0,0,0,0
0,522,0.520434,2.081268,0.0158174,0.00841323,0.5610394,2.52908,0.0174214,0.01002945,0,0,0,0
0,528,0.5557007,2.184891,0.01676835,0.008586735,0.5975568,2.637584,0.01843853,0.01025027,0,0,0,0
0,534,0.5894755,2.279973,0.01767401,0.008751865,0.6322754,2.737232,0.01940045,0.01045796,0,0,0,0
0,540,0.6216087,2.367746,0.01853246,0.008908281,0.6651487,2.829216,0.02030632,0.01065275,0,0,0,0
0,546,0.6520652,2.449184,0.01934515,0.009056281,0.6962014,2.914514,0.02116317,0.01083513,0,0,0,0
0,552,0.6808739,2.525082,0.02011354,0.009196448,0.7255061,2.993937,0.02196651,0.01100653,0,0,0,0
0,558,0.7081042,2.596107,0.02084156,0.009329417,0.7531582,3.068181,0.02273328,0.01116715,0,0,0,0
0,564,0.7338446,2.66283,0.02152423,0.009456336,0.7792662,3.13784,0.02343668,0.01132006,0,0,0,0
0,570,0.7581949,2.725742,0.02217504,0.009577264,0.8039436,3.203431,0.02412113,0.01146349,0,0,0,0
0,576,0.7812583,2.785269,0.02279409,0.009692794,0.8273034,3.265404,0.02476563,0.01159961,0,0,0,0
0,582,0.8031375,2.841782,0.02338127,0.009803676,0.8494551,3.324152,0.02537564,0.01172919,0,0,0,0
0,588,0.8239313,2.895609,0.02393953,0.009910388,0.8705027,3.38002,0.02595494,0.01185287,0,0,0,0
0,594,0.8437338,2.947033,0.02447136,0.01001336,0.8905441,3.433312,0.02650628,0.01197124,0,0,0,0
0,600,0.862633,2.996308,0.02497905,0.01011296,0.9096701,3.484296,0.02703235,0.01208484,0,0,0,0
0,606,0.8804952,2.393538,0.02546395,0.01021115,0.9272156,2.347916,0.02752937,0.0122012,0,0,0,0
0,612,0.8958738,2.10494,0.0259068,0.01032103,0.9409857,2.116755,0.02795678,0.01234406,0,0,0,0
0,618,0.9075692,1.9211,0.0262736,0.01045496,0.9504049,1.945765,0.02827804,0.01252426,0,0,0,0
0,624,0.915417,1.780824,0.02654472,0.01061526,0.9558044,1.805165,0.02848425,0.01273939,0,0,0,0
0,630,0.9197521,1.664891,0.0267176,0.0107975,0.9577412,1.685093,0.0285826,0.01298044,0,0,0,0
0,636,0.9210589,1.56561,0.02679957,0.01099438,0.9567819,1.580822,0.02858658,0.01323635,0,0,0,0
0,642,0.9198284,1.479084,0.02680205,0.01119822,0.9534453,1.489456,0.02851116,0.01349658,0,0,0,0
0,648,0.9165172,1.403046,0.02673759,0.01140209,0.9481924,1.40899,0.02837096,0.0137521,0,0,0,0
0,654,0.9115336,1.335886,0.02661854,0.01160037,0.9414294,1.337866,0.02817955,0.01399589,0,0,0,0
0,660,0.9052376,1.276349,0.0264563,0.0117888,0.9335096,1.274811,0.02794899,0.01422293,0,0,0,0
0,666,0.8979429,1.223427,0.02626107,0.01196448,0.9247375,1.218769,0.02768977,0.01442995,0,0,0,0
0,672,0.8899196,1.176269,0.02604181,0.01212563,0.9153739,1.168841,0.02741105,0.01461525,0,0,0,0
0,678,0.8813989,1.134149,0.02580619,0.01227146,0.9056401,1.124256,0.0271203,0.01477835,0,0,0,0
0,684,0.8725756,1.096429,0.02556067,0.01240196,0.8957208,1.084342,0.02682395,0.01491974,0,0,0,0
0,690,0.8636125,1.062563,0.02531035,0.01251768,0.8857678,1.048521,0.02652667,0.01504062,0,0,0,0
0,696,0.8546423,1.032086,0.02505882,0.01261961,0.8759029,1.016295,0.02623057,0.01514277,0,0,0,0
0,702,0.8457718,1.004591,0.02480987,0.01270892,0.8662234,0.9872323,0.02594241,0.01522778,0,0,0,0
