"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.01013604,1.040589,0.0003369492,3.962453E-05,0.02193105,1.554945,0.0007464225,0.0001304452,0,0,0,0
0,12,0.05197428,1.432163,0.001641045,0.0002776833,0.07866842,1.940921,0.002534716,0.0005799152,0,0,0,0
0,18,0.1077867,1.719478,0.00324069,0.0006249112,0.1434721,2.25181,0.00442922,0.001122025,0,0,0,0
0,24,0.1660278,1.966996,0.004822406,0.00098438,0.2074144,2.527054,0.006216294,0.001650879,0,0,0,0
0,30,0.2225187,2.190204,0.006308179,0.001323047,0.267931,2.776608,0.007864142,0.00213759,0,0,0,0
0,36,0.2758065,2.394676,0.007684572,0.001633561,0.3243072,3.00483,0.00937694,0.002577858,0,0,0,0
0,42,0.3254953,2.583391,0.008954743,0.001916494,0.3764957,3.214634,0.0107652,0.002974593,0,0,0,0
0,48,0.3716305,2.758481,0.01012609,0.002174593,0.4247215,3.408365,0.01203653,0.003332946,0,0,0,0
0,54,0.414442,2.92168,0.01121008,0.002410787,0.4693163,3.588023,0.01321313,0.003656744,0,0,0,0
0,60,0.4542288,3.074466,0.01221876,0.002627595,0.510644,3.755336,0.01429884,0.003951102,0,0,0,0
0,66,0.4908155,2.172418,0.01316844,0.002831592,0.5479097,2.345226,0.01533142,0.004231974,0,0,0,0
0,72,0.5220568,1.895503,0.01409273,0.003047298,0.5784058,2.075247,0.01633417,0.00454259,0,0,0,0
0,78,0.5471115,1.709137,0.01495357,0.00329484,0.6019751,1.868118,0.01724091,0.004905447,0,0,0,0
0,84,0.5663151,1.556543,0.01570503,0.003580224,0.6193008,1.691621,0.01800352,0.005323485,0,0,0,0
