"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0.01013414,1.281022,0.0003638651,4.752442E-05,0.02153848,1.904038,0.0007938686,0.0001626938,0,0,0,0
0,12,0.05003251,1.763665,0.001662128,0.0003036512,0.07352797,2.34078,0.002501075,0.0006345291,0,0,0,0
0,18,0.1018053,2.101372,0.003174343,0.0006486708,0.1312703,2.678686,0.004205899,0.001145815,0,0,0,0
0,24,0.1546991,2.377746,0.004606391,0.0009793947,0.1871838,2.965323,0.005741458,0.001601151,0,0,0,0
0,30,0.2050752,2.616101,0.005901785,0.001265928,0.2392718,3.215753,0.007105575,0.001983989,0,0,0,0
0,36,0.2518135,2.826524,0.007063394,0.001507039,0.287096,3.437729,0.008319954,0.002301089,0,0,0,0
0,42,0.2947018,3.014643,0.008106024,0.001709359,0.3307408,3.636282,0.009407997,0.00256401,0,0,0,0
0,48,0.3338827,3.184251,0.009048958,0.001880187,0.3704898,3.815133,0.01038597,0.002783863,0,0,0,0
0,54,0.3696387,3.338215,0.009896306,0.002026585,0.406698,3.977233,0.01126702,0.002969951,0,0,0,0
