"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2.196901E-07,5.071887E-06,8.212627E-09,1.018107E-09,1.226134E-06,1.842983E-05,4.94277E-08,9.107342E-09,0,0.0002686376,0,0
0,12,1.111557E-05,0.0001010725,4.651021E-07,1.198248E-07,3.062564E-05,0.0001974114,1.359219E-06,4.475247E-07,0,0.001412688,0,0
0,18,7.574035E-05,0.000453917,3.243927E-06,1.182629E-06,0.0001541126,0.0007002569,6.971259E-06,3.105729E-06,0,0.00349513,0,0
0,24,0.0002525135,0.001177926,1.085518E-05,4.827134E-06,0.0004344554,0.001610636,1.967789E-05,1.052315E-05,0,0.006433596,0,0
0,30,0.0005906306,0.00231579,2.531149E-05,1.27409E-05,0.0009146618,0.00294719,4.122196E-05,2.482231E-05,0,0.01011998,0,0
0,36,0.001123104,0.003862062,4.784174E-05,2.612374E-05,0.001619212,0.004690544,7.241965E-05,4.727499E-05,0,0.01444906,0,0
0,42,0.001868215,0.005785351,7.899343E-05,4.558673E-05,0.002558621,0.006802732,0.0001134266,7.835963E-05,0,0.01932733,0,0
0,48,0.002833013,0.008042917,0.0001188169,7.126039E-05,0.003733711,0.009238825,0.0001639679,0.0001179739,0,0.02467483,0,0
0,54,0.004016648,0.01058908,0.000167031,0.0001029471,0.005138874,0.01195329,0.0002235069,0.0001656461,0,0.03042442,0,0
