"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4.67747E-09,3.62699E-07,1.357341E-10,7.984041E-12,6.42604E-08,3.023885E-06,2.098786E-09,2.2477E-10,0,9.143899E-05,0,0
0,6,4.546046E-07,9.843963E-06,1.721917E-08,2.219015E-09,2.411278E-06,3.364161E-05,9.85461E-08,1.882971E-08,0,0.0004533144,0,0
0,9,4.389097E-06,5.385765E-05,1.793161E-07,3.60446E-08,1.510501E-05,0.0001258687,6.575823E-07,1.77298E-07,0,0.001124708,0,0
0,12,1.86622E-05,0.0001633905,7.859579E-07,2.093771E-07,4.979394E-05,0.0003100726,2.223202E-06,7.550956E-07,0,0.002121187,0,0
0,15,5.268264E-05,0.0003666073,2.249451E-06,7.275773E-07,0.0001187657,0.0006107594,5.361677E-06,2.149729E-06,0,0.003449452,0,0
0,18,0.0001168267,0.0006862351,5.018808E-06,1.869166E-06,0.0002336344,0.001045203,1.059369E-05,4.810953E-06,0,0.00507894,0,0
0,21,0.0002212398,0.001137268,9.524038E-06,3.945966E-06,0.0004042779,0.001622618,1.834501E-05,9.181065E-06,0,0.007025559,0,0
0,24,0.0003749891,0.001730175,1.613684E-05,7.263201E-06,0.0006390389,0.002352943,2.8953E-05,1.564993E-05,0,0.009301898,0,0
0,27,0.0005862878,0.002474151,2.51812E-05,1.209527E-05,0.0009458467,0.0032438,4.272676E-05,2.455367E-05,0,0.0119035,0,0
0,30,0.0008627512,0.003376103,3.694699E-05,1.868187E-05,0.00133199,0.004300249,5.99376E-05,3.618024E-05,0,0.01482445,0,0
0,33,0.001211363,0.004440506,5.168845E-05,2.72289E-05,0.001803967,0.005525189,8.08112E-05,5.076871E-05,0,0.01805776,0,0
0,36,0.001638348,0.005669509,6.961932E-05,3.790585E-05,0.00236742,0.006917527,0.000105526,6.850631E-05,0,0.02151544,0,0
0,39,0.002148967,0.007056093,9.090517E-05,5.084726E-05,0.0030256,0.008454558,0.0001341517,8.952151E-05,0,0.0250347,0,0
0,42,0.002745655,0.008577944,0.000115587,6.613458E-05,0.003776187,0.01011036,0.0001665009,0.0001138232,0,0.0286531,0,0
0,45,0.003427363,0.0102132,0.0001435519,8.376379E-05,0.004614699,0.01186961,0.0002022861,0.0001412815,0,0.03240594,0,0
0,48,0.004191591,0.01194835,0.0001746276,0.0001036494,0.005537835,0.01372545,0.0002412867,0.0001716986,0,0.03632003,0,0
0,51,0.005036142,0.0137771,0.0002086624,0.0001256662,0.00654401,0.01567642,0.0002833714,0.0002048778,0,0.04041519,0,0
0,54,0.005959724,0.01569792,0.0002455493,0.0001496876,0.007633046,0.01772416,0.0003284776,0.0002406541,0,0.04470557,0,0
0,57,0.00696206,0.01771228,0.0002852272,0.0001756053,0.00880586,0.0198719,0.0003765923,0.0002789036,0,0.04920061,0,0
0,60,0.008043777,0.0198229,0.0003276733,0.0002033393,0.01006406,0.02212325,0.0004277306,0.0003195419,0,0.05390603,0,0
0,63,0.009206134,0.02203289,0.0003728895,0.0002328348,0.01140967,0.02448165,0.0004819217,0.000362513,0,0.0588245,0,0
0,66,0.01045081,0.02434522,0.0004208926,0.0002640554,0.01284491,0.02695005,0.000539199,0.0004077793,0,0.06395619,0,0
0,69,0.01177973,0.02676239,0.0004717065,0.0002969773,0.01437204,0.02953073,0.0005995964,0.0004553138,0,0.06929808,0,0
0,72,0.0131949,0.02928538,0.0005253569,0.000331585,0.01599308,0.03222008,0.000663135,0.0005050941,0,0.07473922,0,0
0,75,0.01469775,0.03190591,0.000581847,0.0003678635,0.01770775,0.0349994,0.000729749,0.0005570835,0,0.08022616,0,0
0,78,0.01628772,0.03460807,0.000641105,0.0004057822,0.0195124,0.03785351,0.0007992341,0.0006111953,0,0.08578862,0,0
0,81,0.01796226,0.03737893,0.0007029842,0.0004452766,0.02140259,0.04077413,0.0008713586,0.0006672885,0,0.09144929,0,0
0,84,0.01971817,0.0402112,0.0007673182,0.0004862521,0.0233747,0.04375805,0.0009459358,0.0007252008,0,0.09722541,0,0
0,87,0.02155251,0.04310211,0.0008339591,0.0005286006,0.02542623,0.04680536,0.001022834,0.0007847763,0,0.1031295,0,0
0,90,0.02346305,0.04605187,0.0009027915,0.0005722173,0.02755567,0.04991797,0.001101969,0.0008458802,0,0.10917,0,0
0,93,0.02544823,0.04906229,0.0009737318,0.0006170111,0.02976221,0.05309859,0.001183286,0.0009084039,0,0.1153523,0,0
0,96,0.02750714,0.05213573,0.001046723,0.0006629087,0.03204552,0.05634991,0.001266753,0.0009722637,0,0.1216792,0,0
0,99,0.0296393,0.05527451,0.001121727,0.000709854,0.0344055,0.05967427,0.001352345,0.001037395,0,0.1281512,0,0
0,102,0.03184446,0.05848065,0.001198714,0.0007578029,0.03684211,0.06307346,0.001440043,0.001103747,0,0.134767,0,0
