"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,7.831901E-06,0.000433358,2.699194E-07,1.877595E-08,8.01918E-05,0.002385693,3.063738E-06,3.848764E-07,0,0.04432152,0,0
0,6,0.000272769,0.004562089,1.106555E-05,1.704683E-06,0.001146091,0.01170109,4.937052E-05,1.095033E-05,0,0.1056998,0,0
0,9,0.001522257,0.01496605,6.296298E-05,1.447719E-05,0.004273232,0.027867,0.000184726,5.543213E-05,0,0.1700698,0,0
0,12,0.004422442,0.031698,0.0001800042,5.209911E-05,0.009812852,0.05012,0.0004136921,0.0001486186,0,0.2384685,0,0
0,15,0.009321574,0.05416442,0.0003688679,0.0001224874,0.01778801,0.07797414,0.0007255439,0.0002906424,0,0.3108543,0,0
0,18,0.01634543,0.08185879,0.0006268078,0.0002258509,0.02811505,0.1111019,0.001108982,0.0004742167,0,0.3863858,0,0
0,21,0.02548499,0.1143761,0.0009476529,0.0003577873,0.04063448,0.1491805,0.001553644,0.0006899226,0,0.4638356,0,0
0,24,0.03663646,0.1513158,0.001323985,0.0005121718,0.05512099,0.1917995,0.00204945,0.0009285596,0,0.5418596,0,0
0,27,0.04962512,0.1922159,0.001747884,0.0006827909,0.071303,0.2384291,0.002586792,0.001182,0,0.6191674,0,0
0,30,0.06422722,0.2365309,0.002211164,0.0008640504,0.08888672,0.2884281,0.003155599,0.001443508,0,0.6946188,0,0
0,33,0.08019205,0.2836384,0.002705834,0.001051243,0.107578,0.3410724,0.003748935,0.001707525,0,0.7672731,0,0
0,36,0.0972611,0.3328622,0.003224602,0.001240556,0.1270974,0.3955912,0.004354655,0.001970193,0,0.8364024,0,0
0,39,0.1151823,0.3835019,0.003758345,0.001429225,0.1471892,0.4512036,0.004969599,0.002228136,0,0.901485,0,0
0,42,0.1337203,0.4347745,0.004303394,0.001614916,0.1676247,0.5063332,0.005586723,0.002479304,0,0.9378488,0,0
0,45,0.1526421,0.4839567,0.004852814,0.001796283,0.1881064,0.5557145,0.006199095,0.002722892,0,0.9491423,0,0
0,48,0.1716448,0.5277548,0.005399747,0.001972883,0.2082231,0.5984247,0.006796986,0.00295934,0,0.9583758,0,0
0,51,0.1904094,0.5655531,0.005936594,0.002144833,0.2276918,0.6349146,0.007372758,0.003188966,0,0.9659308,0,0
0,54,0.2086895,0.5977971,0.006457285,0.002312284,0.2463591,0.6658649,0.00792247,0.003411892,0,0.9721133,0,0
0,57,0.2263218,0.6251141,0.006957898,0.002475322,0.2641473,0.691928,0.008444536,0.003628196,0,0.9771729,0,0
0,60,0.2432075,0.6480954,0.007436268,0.002634012,0.2810223,0.7136749,0.008938646,0.003837983,0,0.9813139,0,0
0,63,0.2592916,0.6672499,0.00789138,0.002788427,0.2969741,0.7315963,0.009405077,0.004041402,0,0.9847033,0,0
0,66,0.2745476,0.6830177,0.008322927,0.002938666,0.3120078,0.7461172,0.009844413,0.004238633,0,0.9874777,0,0
0,69,0.288968,0.6957788,0.008731029,0.003084844,0.3261382,0.7576078,0.01025739,0.004429876,0,0.9897486,0,0
0,72,0.3025577,0.7058622,0.009116057,0.003227089,0.3393858,0.7663927,0.01064482,0.004615337,0,0.9916075,0,0
0,75,0.3153298,0.7135558,0.009478526,0.00336553,0.3517751,0.7727584,0.01100752,0.004795216,0,0.9931293,0,0
0,78,0.3273028,0.7191136,0.009819032,0.003500296,0.363333,0.7769598,0.01134632,0.004969703,0,0.9943751,0,0
0,81,0.3384986,0.7227607,0.01013821,0.003631505,0.3740878,0.779224,0.01166206,0.00513897,0,0.9953949,0,0
0,84,0.3489414,0.7246978,0.01043673,0.003759267,0.3840687,0.7797552,0.01195555,0.005303174,0,0.9962299,0,0
0,87,0.3586569,0.7251047,0.01071527,0.003883678,0.3933051,0.7787364,0.0122276,0.005462451,0,0.9969134,0,0
0,90,0.3676713,0.7241431,0.01097449,0.004004822,0.4018264,0.7763333,0.012479,0.005616921,0,0.997473,0,0
0,93,0.3760112,0.7219586,0.01121508,0.00412277,0.4096617,0.7726953,0.01271054,0.005766686,0,0.9979311,0,0
0,96,0.3837031,0.718683,0.01143771,0.004237583,0.4168395,0.7679582,0.01292297,0.005911834,0,0.9983062,0,0
0,99,0.3907735,0.7144356,0.01164303,0.004349312,0.4233879,0.7622448,0.01311705,0.006052437,0,0.9986132,0,0
0,102,0.397248,0.7093248,0.01183169,0.004457996,0.429334,0.755667,0.0132935,0.006188558,0,0.9988647,0,0
0,105,0.403152,0.7034491,0.01200433,0.004563669,0.4347043,0.7483267,0.01345304,0.006320247,0,0.9990705,0,0
0,108,0.40851,0.696898,0.01216158,0.004666355,0.4395246,0.7403165,0.01359637,0.006447546,0,0.999239,0,0
0,111,0.413346,0.6897532,0.01230406,0.004766073,0.4438195,0.7317206,0.01372417,0.006570487,0,0.999377,0,0
0,114,0.4176831,0.682089,0.01243236,0.004862838,0.4476131,0.7226162,0.01383709,0.006689101,0,0.9994899,0,0
0,117,0.4215438,0.6739732,0.01254708,0.00495666,0.4509285,0.7130734,0.0139358,0.006803408,0,0.9995824,0,0
0,120,0.4249498,0.6654677,0.01264878,0.005047545,0.453788,0.7031561,0.0140209,0.006913429,0,0.999658,0,0
0,135,0.4358643,0.6189039,0.01298111,0.005458034,0.4619717,0.649822,0.01426328,0.007399755,0,0.9998742,0,0
0,150,0.4382434,0.5692343,0.01306586,0.005795477,0.4616613,0.5939721,0.01425037,0.007781159,0,0.9999537,0,0
0,165,0.4340316,0.5198615,0.01295885,0.006060721,0.4548443,0.5390875,0.01404234,0.008060486,0,0.999983,0,0
0,180,0.4248378,0.4728245,0.01270769,0.00625609,0.4431631,0.4872229,0.01369011,0.008242701,0,0.9999937,0,0
0,195,0.4119954,0.4292574,0.01235236,0.006385783,0.4279777,0.439488,0.01323617,0.008335298,0,0.9999977,0,0
0,210,0.3966094,0.3896962,0.01192601,0.006455814,0.4104128,0.3963711,0.01271548,0.008348117,0,0.9999992,0,0
