"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,2.314209E-05,0.000419353,9.311715E-07,1.372277E-07,0.0001046883,0.001164104,4.518992E-06,9.752628E-07,0,0.01165592,0,0
0,12,0.000475298,0.003459339,2.041379E-05,6.190797E-06,0.001093102,0.005559871,4.948919E-05,1.915541E-05,0,0.02803158,0,0
0,18,0.001899928,0.009273727,8.108369E-05,3.382815E-05,0.003332849,0.01251494,0.0001489861,7.590836E-05,0,0.04685377,0,0
0,24,0.004460256,0.01730167,0.0001865343,9.094516E-05,0.006843115,0.02160309,0.0002986738,0.0001748281,0,0.06839716,0,0
0,30,0.008216323,0.02727195,0.0003354976,0.0001769899,0.01166634,0.03264242,0.0004959287,0.0003122831,0,0.09227176,0,0
0,36,0.01320982,0.03892488,0.0005262251,0.000288961,0.01781777,0.04529823,0.0007376983,0.000483339,0,0.1169046,0,0
0,42,0.01941138,0.05184587,0.0007547366,0.0004230147,0.02520839,0.05919145,0.001017557,0.0006818839,0,0.1424256,0,0
0,48,0.02673756,0.06580494,0.001015808,0.0005746686,0.03373563,0.07418305,0.001329685,0.0009014832,0,0.1690589,0,0
0,54,0.03510703,0.08072565,0.001305168,0.0007398726,0.04331689,0.0902297,0.001670006,0.001136899,0,0.1968196,0,0
0,60,0.0444451,0.09656783,0.001619444,0.0009154739,0.05387219,0.1072908,0.002035167,0.001384147,0,0.2255988,0,0
0,66,0.05467338,0.1132762,0.001955623,0.00109901,0.06531227,0.1252962,0.002421928,0.001640048,0,0.2552202,0,0
0,72,0.06570353,0.1307641,0.002310734,0.00128845,0.0775345,0.1441391,0.00282695,0.001901914,0,0.2854778,0,0
0,78,0.07743528,0.148914,0.002681678,0.001482018,0.0904239,0.1636803,0.003246656,0.002167358,0,0.3161588,0,0
0,84,0.08975855,0.1675846,0.003065338,0.001678104,0.1038573,0.1837565,0.003677742,0.002434208,0,0.3470581,0,0
0,90,0.1025573,0.1866178,0.003458716,0.001875253,0.1177078,0.2041889,0.004116626,0.002700559,0,0.3779856,0,0
0,96,0.1157136,0.2058475,0.003858191,0.002072223,0.1318491,0.2247916,0.004559054,0.002964808,0,0.4087697,0,0
0,102,0.1291113,0.225105,0.004261545,0.002267851,0.1461601,0.2453778,0.005004487,0.003225343,0,0.4392595,0,0
0,108,0.1426397,0.244225,0.004665096,0.002461243,0.1605268,0.2657662,0.005444857,0.003481341,0,0.4693239,0,0
0,114,0.1561954,0.2630498,0.005066492,0.002651638,0.1748447,0.2857846,0.005880032,0.003731758,0,0.498851,0,0
0,120,0.169684,0.2814322,0.005463125,0.00283845,0.1890197,0.3052737,0.006313485,0.003975406,0,0.5277466,0,0
0,126,0.183021,0.2992375,0.00585469,0.003021051,0.2029687,0.324089,0.006734961,0.004212303,0,0.5559326,0,0
0,132,0.1961318,0.3163458,0.006237685,0.003199246,0.2166192,0.3421022,0.007145728,0.004441946,0,0.5833454,0,0
0,138,0.2089512,0.3326519,0.006610813,0.003372783,0.2299087,0.3592024,0.007544059,0.004664127,0,0.6099344,0,0
0,144,0.221424,0.348066,0.006972822,0.003541512,0.2427848,0.3752954,0.007928604,0.004878751,0,0.6356605,0,0
0,150,0.2335028,0.3625132,0.007322551,0.003705367,0.2552034,0.3903038,0.008298385,0.0050858,0,0.6604946,0,0
0,156,0.2451479,0.375847,0.007659112,0.003864334,0.2671227,0.4039367,0.008652372,0.00528536,0,0.6824582,0,0
0,162,0.2563015,0.3876688,0.007980969,0.004018482,0.2784624,0.4158472,0.008988258,0.0054776,0,0.7032523,0,0
0,168,0.2668949,0.3979763,0.008286261,0.004167824,0.2891605,0.4261488,0.00930431,0.005662491,0,0.7231115,0,0
0,174,0.2768875,0.406882,0.008573961,0.004312268,0.299193,0.4349569,0.009600019,0.005839936,0,0.7420495,0,0
0,180,0.2862618,0.4144753,0.008843718,0.00445174,0.3085537,0.4423595,0.009875392,0.00600991,0,0.7600831,0,0
0,186,0.2950134,0.4208271,0.009095529,0.004586226,0.3172454,0.4484293,0.01013065,0.006172476,0,0.7772323,0,0
0,192,0.3031454,0.4259989,0.00932956,0.004715764,0.3252758,0.4532316,0.01036612,0.006327753,0,0.7935191,0,0
0,198,0.3106651,0.4300424,0.009546073,0.004840422,0.3326556,0.4567918,0.01058217,0.006475893,0,0.8082035,0,0
0,204,0.3175753,0.4327776,0.009745164,0.004960302,0.3393767,0.4588032,0.01077856,0.006617113,0,0.8209469,0,0
0,210,0.3238544,0.4340976,0.009926168,0.00507552,0.3454065,0.4593341,0.01095424,0.006751558,0,0.8329681,0,0
0,216,0.3294863,0.4341785,0.01008862,0.005186065,0.3507409,0.4585888,0.01110915,0.006879163,0,0.8442966,0,0
0,222,0.3344744,0.4331856,0.01023267,0.005291841,0.3553951,0.4567337,0.01124382,0.006999821,0,0.8549615,0,0
0,228,0.3388345,0.4312507,0.01035883,0.005392762,0.3593919,0.4539029,0.01135903,0.007113462,0,0.8649921,0,0
0,234,0.3425881,0.4284823,0.01046775,0.005488771,0.3627577,0.450209,0.0114556,0.007220063,0,0.8744171,0,0
0,240,0.3457593,0.4249744,0.01056013,0.005579843,0.36552,0.4457508,0.0115344,0.007319639,0,0.883265,0,0
0,246,0.3483731,0.4208104,0.01063672,0.005665977,0.3677065,0.4406167,0.01159625,0.00741223,0,0.8915637,0,0
0,252,0.3504551,0.4160654,0.01069823,0.005747185,0.3693448,0.4348869,0.01164201,0.007497896,0,0.8993405,0,0
0,258,0.3520305,0.4108085,0.0107454,0.005823492,0.3704621,0.4286354,0.01167249,0.007576705,0,0.9066221,0,0
0,264,0.3531239,0.4051034,0.01077893,0.005894925,0.3710847,0.4219307,0.01168848,0.007648733,0,0.9134343,0,0
0,270,0.3537596,0.399009,0.01079952,0.005961522,0.3712386,0.4148346,0.01169077,0.007714061,0,0.9197814,0,0
0,276,0.3539611,0.3925743,0.01080785,0.006023319,0.3709483,0.4073985,0.0116801,0.007772773,0,0.9256952,0,0
0,282,0.3537511,0.3858496,0.01080457,0.006080359,0.3702375,0.3996789,0.01165718,0.007824958,0,0.9312147,0,0
0,288,0.3531516,0.3788844,0.01079031,0.006132685,0.36913,0.3917293,0.01162275,0.007870705,0,0.9363627,0,0
0,294,0.352183,0.3717222,0.01076567,0.006180339,0.3676478,0.3835957,0.01157745,0.007910101,0,0.9411595,0,0
