"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4.698057E-09,3.645313E-07,1.363238E-10,8.022335E-12,6.456834E-08,3.040764E-06,2.108552E-09,2.257845E-10,0,9.197662E-05,0,0
0,6,4.571627E-07,9.902305E-06,1.731747E-08,2.231331E-09,2.425066E-06,3.384209E-05,9.912078E-08,1.893854E-08,0,0.0004558035,0,0
0,9,4.41383E-06,5.416525E-05,1.803562E-07,3.625593E-08,1.518873E-05,0.0001265627,6.61346E-07,1.783318E-07,0,0.001129987,0,0
0,12,1.87615E-05,0.0001642467,7.902814E-07,2.105646E-07,5.004957E-05,0.0003116143,2.235009E-06,7.592644E-07,0,0.002129702,0,0
0,15,5.294219E-05,0.0003683456,2.260905E-06,7.314579E-07,0.0001193235,0.0006134915,5.387664E-06,2.160722E-06,0,0.003461176,0,0
0,18,0.0001173522,0.0006889776,5.04212E-06,1.8784E-06,0.0002345977,0.001048608,1.063886E-05,4.833358E-06,0,0.00508593,0,0
0,21,0.0002220773,0.001140633,9.561268E-06,3.963351E-06,0.0004055725,0.001626571,1.840549E-05,9.217177E-06,0,0.007035527,0,0
0,24,0.0003761257,0.001734171,1.618704E-05,7.289952E-06,0.000640658,0.00235769,2.902776E-05,1.569958E-05,0,0.009314893,0,0
0,27,0.0005877425,0.002478974,2.524488E-05,1.213166E-05,0.0009478595,0.003249569,4.281872E-05,2.46174E-05,0,0.01191958,0,0
0,30,0.0008645773,0.003381962,3.702624E-05,1.87286E-05,0.001334484,0.004307233,6.005049E-05,3.625976E-05,0,0.01484361,0,0
0,33,0.001213628,0.004447575,5.178598E-05,2.728717E-05,0.001807028,0.005533529,8.094865E-05,5.086633E-05,0,0.01807998,0,0
0,36,0.00164113,0.005677888,6.973815E-05,3.797738E-05,0.002371128,0.006927073,0.0001056911,6.862464E-05,0,0.02153521,0,0
0,39,0.002152318,0.007065445,9.10472E-05,5.093379E-05,0.00302992,0.00846456,0.0001343427,8.966223E-05,0,0.02505146,0,0
0,42,0.00274952,0.008587638,0.0001157495,6.623656E-05,0.003780938,0.01012032,0.0001667088,0.0001139841,0,0.02866778,0,0
0,45,0.003431628,0.01022284,0.0001437295,8.387952E-05,0.00461973,0.01187928,0.0002025036,0.0001414578,0,0.03241932,0,0
0,48,0.004196151,0.01195772,0.0001748155,0.0001037759,0.005543039,0.01373472,0.000241509,0.0001718858,0,0.03633272,0,0
