"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,7.841541E-06,0.0004338096,2.702669E-07,1.880349E-08,8.027686E-05,0.002388562,3.067059E-06,3.853316E-07,0,0.0444129,0,0
0,6,0.00027318,0.004570262,1.108162E-05,1.70685E-06,0.001148056,0.01172153,4.945249E-05,1.096597E-05,0,0.1058301,0,0
0,9,0.001524751,0.01498821,6.306346E-05,1.449891E-05,0.00427974,0.02790118,0.0001849994,5.551221E-05,0,0.1702009,0,0
0,12,0.004428421,0.03173337,0.0001802377,5.216745E-05,0.009824374,0.05016796,0.0004141532,0.0001487894,0,0.2386348,0,0
0,15,0.009331787,0.05421402,0.0003692479,0.0001226173,0.01780494,0.07804018,0.0007261825,0.0002909035,0,0.3110757,0,0
0,18,0.01636061,0.08192679,0.0006273452,0.0002260418,0.02813839,0.1111914,0.00110982,0.0004745598,0,0.3866588,0,0
0,21,0.02550598,0.1144665,0.0009483636,0.0003580363,0.04066514,0.1492965,0.001554696,0.0006903388,0,0.4641384,0,0
0,24,0.036664,0.1514302,0.001324901,0.0005124745,0.05515929,0.1919408,0.002050795,0.0009290351,0,0.5421633,0,0
0,27,0.0496594,0.1923523,0.001748995,0.0006831348,0.07134846,0.2385904,0.002588226,0.001182531,0,0.6194435,0,0
0,30,0.06426793,0.2366836,0.002212449,0.000864429,0.08893831,0.288601,0.00315745,0.001444061,0,0.6948469,0,0
0,33,0.08023834,0.283799,0.002707163,0.001051656,0.107634,0.3412469,0.003749593,0.001708206,0,0.7674415,0,0
0,36,0.09731154,0.3330218,0.003225439,0.001241034,0.1271559,0.3957576,0.004356625,0.001970797,0,0.8365078,0,0
0,39,0.1152353,0.3836517,0.003760177,0.001429652,0.1472484,0.4513532,0.004971562,0.002228752,0,0.901531,0,0
0,42,0.1337745,0.4349091,0.004305102,0.001615358,0.1676832,0.5064695,0.005588548,0.002479926,0,0.9379406,0,0
0,45,0.1526962,0.4840796,0.004854451,0.001796731,0.1881635,0.5558385,0.006200841,0.00272351,0,0.9492025,0,0
0,48,0.1716981,0.5278661,0.005401324,0.00197333,0.2082784,0.5985354,0.006798655,0.002959949,0,0.9584165,0,0
0,51,0.1904618,0.5656533,0.005938121,0.002145274,0.2277455,0.6350119,0.007374365,0.003189562,0,0.9659581,0,0
0,54,0.2087411,0.5978842,0.006458772,0.002312716,0.2464112,0.665948,0.00792402,0.003412474,0,0.9721311,0,0
0,57,0.2263717,0.6251886,0.006959331,0.002475746,0.2641972,0.6919982,0.008446017,0.003628765,0,0.9771846,0,0
0,60,0.2432551,0.6481575,0.00743763,0.002634427,0.2810695,0.7137338,0.008940042,0.003838538,0,0.9813218,0,0
0,63,0.2593368,0.6673017,0.007892672,0.002788834,0.2970186,0.7316452,0.009406391,0.004041942,0,0.9847084,0,0
0,66,0.2745903,0.6830609,0.008324147,0.002939064,0.3120497,0.7461573,0.00984565,0.004239159,0,0.987481,0,0
0,69,0.289008,0.6958144,0.008732175,0.003085233,0.3261774,0.7576403,0.01025855,0.004430388,0,0.9897509,0,0
0,72,0.3025952,0.705891,0.009117135,0.003227467,0.3394224,0.7664183,0.01064591,0.004615834,0,0.9916092,0,0
0,75,0.3153651,0.7135783,0.009479545,0.0033659,0.3518094,0.7727777,0.01100854,0.004795699,0,0.9931304,0,0
0,78,0.327336,0.7191303,0.009819993,0.003500657,0.363365,0.7769732,0.01134728,0.004970173,0,0.9943757,0,0
0,81,0.3385296,0.7227724,0.01013911,0.003631858,0.3741176,0.7792324,0.01166295,0.005139427,0,0.9953953,0,0
0,84,0.3489703,0.7247051,0.01043758,0.003759611,0.3840963,0.7797591,0.01195638,0.005303618,0,0.9962301,0,0
0,87,0.3586838,0.7251081,0.01071606,0.003884014,0.3933306,0.7787364,0.01222837,0.005462882,0,0.9969135,0,0
0,90,0.3676962,0.724143,0.01097523,0.004005149,0.40185,0.7763297,0.01247972,0.00561734,0,0.9974729,0,0
0,93,0.3760342,0.7219554,0.01121577,0.004123089,0.4096833,0.7726887,0.0127112,0.005767093,0,0.9979311,0,0
0,96,0.3837244,0.718677,0.01143834,0.004237895,0.4168594,0.7679487,0.01292358,0.005912229,0,0.9983061,0,0
0,99,0.3907931,0.7144272,0.01164362,0.004349616,0.423406,0.7622329,0.01311761,0.006052821,0,0.9986131,0,0
0,102,0.397266,0.7093141,0.01183223,0.004458293,0.4293505,0.7556529,0.01329402,0.006188931,0,0.9988645,0,0
0,105,0.4031684,0.7034364,0.01200483,0.004563958,0.4347192,0.7483106,0.01345351,0.006320609,0,0.9990702,0,0
0,108,0.4085249,0.6968836,0.01216204,0.004666637,0.439538,0.7402986,0.0135968,0.006447896,0,0.9992387,0,0
0,111,0.4133595,0.6897372,0.01230448,0.004766348,0.4438315,0.7317013,0.01372455,0.006570827,0,0.9993767,0,0
0,114,0.4176952,0.6820717,0.01243275,0.004863106,0.4476237,0.7225956,0.01383744,0.00668943,0,0.9994896,0,0
0,117,0.4215546,0.6739549,0.01254742,0.004956922,0.4509378,0.7130517,0.0139361,0.006803727,0,0.9995821,0,0
0,120,0.4249593,0.6654485,0.01264909,0.0050478,0.453796,0.7031335,0.01402117,0.006913737,0,0.9996579,0,0
0,135,0.4358683,0.6188819,0.01298126,0.005458256,0.4619742,0.6497968,0.01426339,0.007400013,0,0.9998741,0,0
0,150,0.4382432,0.5692114,0.01306588,0.005795666,0.4616596,0.5939463,0.01425035,0.007781367,0,0.9999537,0,0
0,165,0.434028,0.5198392,0.01295878,0.006060876,0.4548393,0.5390626,0.01404221,0.008060646,0,0.999983,0,0
0,180,0.4248317,0.4728035,0.01270754,0.006256214,0.4431557,0.4871996,0.0136899,0.008242816,0,0.9999937,0,0
0,195,0.4119875,0.4292381,0.01235216,0.006385876,0.4279686,0.4394668,0.01323591,0.00833537,0,0.9999977,0,0
0,210,0.3966002,0.3896789,0.01192577,0.006455878,0.4104024,0.3963521,0.01271519,0.008348149,0,0.9999992,0,0
0,225,0.379582,0.354273,0.01145542,0.006473698,0.3913831,0.357943,0.01215611,0.008292745,0,0.9999997,0,0
0,240,0.3616802,0.3229228,0.01096262,0.006447764,0.3716647,0.3240772,0.01158168,0.008181724,0,0.9999999,0,0
0,255,0.3434985,0.2953833,0.01046484,0.006386738,0.3518527,0.2944458,0.0110069,0.008027895,0,0.9999999,0,0
0,270,0.3255137,0.2713305,0.00997413,0.00629928,0.3324204,0.2686642,0.01044743,0.007843318,0,1,0,0
0,285,0.308091,0.2504056,0.009500709,0.006193226,0.3137252,0.2463182,0.009911984,0.007639002,0,1,0,0
0,300,0.2914975,0.2322444,0.009051142,0.00607555,0.2960227,0.2269944,0.009406759,0.007424441,0,1,0,0
0,315,0.2759138,0.2164967,0.008629847,0.005952096,0.2794798,0.2102996,0.008936381,0.007207374,0,1,0,0
0,330,0.2614474,0.2028372,0.00823938,0.005827533,0.2641882,0.1958712,0.008502101,0.006993891,0,1,0,0
0,345,0.2481444,0.1909707,0.007880148,0.00570546,0.2501781,0.1833831,0.008104857,0.006788426,0,1,0,0
0,360,0.2360022,0.1806355,0.007552477,0.005588386,0.2374309,0.1725471,0.007742763,0.006594074,0,1,0,0
0,375,0.2249813,0.1716022,0.007254124,0.00547806,0.2258922,0.1631124,0.007414738,0.006412625,0,1,0,0
0,390,0.2150163,0.1636728,0.006984822,0.005375315,0.2154832,0.154863,0.007119161,0.006244846,0,1,0,0
0,405,0.2060255,0.1566778,0.006741203,0.005280641,0.2061102,0.147615,0.006852639,0.006090952,0,1,0,0
0,420,0.197919,0.1504731,0.006521023,0.00519401,0.1976734,0.1412125,0.006612207,0.005950534,0,1,0,0
0,435,0.1906049,0.1449376,0.006321937,0.005115096,0.1900723,0.1355248,0.006395154,0.005822823,0,1,0,0
0,450,0.1839939,0.139969,0.006141518,0.005043411,0.1832106,0.1304419,0.006198809,0.005706853,0,1,0,0
0,465,0.1780018,0.1354816,0.005977545,0.004978346,0.1769985,0.1258718,0.006020639,0.00560155,0,1,0,0
0,480,0.1725517,0.131404,0.00582795,0.004919248,0.1713546,0.1217378,0.005858349,0.00550581,0,1,0,0
0,495,0.1675749,0.1276766,0.005690888,0.004865452,0.1662062,0.1179763,0.005709892,0.005418559,0,1,0,0
0,510,0.1630105,0.1242495,0.005564729,0.00481632,0.1614896,0.1145339,0.00557347,0.005338781,0,1,0,0
0,525,0.1588057,0.1210812,0.005448059,0.004771252,0.1571493,0.1113663,0.005447522,0.005265542,0,1,0,0
