"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.60192,1.221066E-05,0.0001396679,5.057591E-07,1.086948E-07,3.956E-05,0.0003094867,1.742999E-06,4.9623E-07,0,0.00128195,0,0
0,19.20384,0.0002989518,0.001662438,1.288035E-05,5.042919E-06,0.0005730996,0.002455966,2.6016E-05,1.23518E-05,0,0.005643226,0,0
0,28.80576,0.001417376,0.00559024,6.055995E-05,3.016869E-05,0.002194906,0.00705091,9.841965E-05,5.880351E-05,0,0.01168887,0,0
0,38.40768,0.00363319,0.01153913,0.0001522708,8.566659E-05,0.005036111,0.01365901,0.0002207815,0.0001485603,0,0.01952358,0,0
0,48.0096,0.007067427,0.01941999,0.0002897359,0.0001719417,0.009226085,0.02219638,0.0003947278,0.00028061,0,0.02853767,0,0
0,57.61152,0.01176717,0.02884917,0.0004714474,0.0002870793,0.01475734,0.03232221,0.0006158511,0.0004506905,0,0.03893272,0,0
0,67.21344,0.01777244,0.03991807,0.0006956834,0.000427431,0.02171201,0.04420195,0.0008839348,0.0006539468,0,0.05057575,0,0
0,76.81536,0.02512215,0.05232546,0.0009610588,0.0005907606,0.03006734,0.05740082,0.001195001,0.0008866996,0,0.06291235,0,0
0,86.41728,0.03371707,0.06579971,0.001261639,0.0007728722,0.03969703,0.07171407,0.001542005,0.001142307,0,0.07582211,0,0
0,96.0192,0.04341268,0.07990915,0.001591086,0.0009693633,0.05039811,0.08659381,0.001916571,0.001414442,0,0.08874155,0,0
0,105.6211,0.05394731,0.09419039,0.00194008,0.001175205,0.06186401,0.1016151,0.002307779,0.001695733,0,0.1016669,0,0
0,115.223,0.06505735,0.1083933,0.002300264,0.001385595,0.07382546,0.1165432,0.002707134,0.001979847,0,0.1145956,0,0
0,124.825,0.07652037,0.1223758,0.002665234,0.001596964,0.08606362,0.1312374,0.003108377,0.002262308,0,0.1275327,0,0
0,134.4269,0.08815826,0.1360534,0.003030263,0.00180688,0.09840662,0.1456096,0.003506982,0.002540161,0,0.140481,0,0
0,144.0288,0.09983223,0.1493688,0.003391919,0.002013753,0.1107218,0.1595951,0.003899704,0.002811538,0,0.1534303,0,0
0,153.6307,0.1114348,0.16228,0.003747711,0.002216564,0.1229073,0.1731473,0.004284206,0.003075297,0,0.1663804,0,0
0,163.2327,0.1228852,0.1747621,0.004095884,0.002414684,0.1348877,0.1862382,0.0046589,0.0033308,0,0.1793318,0,0
0,172.8346,0.1341245,0.1868026,0.004435267,0.002607765,0.1466098,0.1988536,0.005022781,0.003577765,0,0.1922854,0,0
0,182.4365,0.1451121,0.198399,0.004765146,0.002795663,0.1580377,0.2109895,0.005375292,0.003816168,0,0.2052421,0,0
0,192.0384,0.1558219,0.2095561,0.005085167,0.002978382,0.16915,0.2226505,0.005716229,0.004046171,0,0.2182024,0,0
0,201.6403,0.1662394,0.2202829,0.005395233,0.003156027,0.1799359,0.2338451,0.006045633,0.004268055,0,0.2311634,0,0
0,211.2422,0.1763578,0.2305908,0.005695431,0.003328773,0.1903921,0.2445853,0.006363709,0.004482179,0,0.2441245,0,0
0,220.8442,0.1861769,0.2404944,0.005985976,0.003496835,0.2005212,0.2548867,0.006670791,0.004688944,0,0.257086,0,0
0,230.4461,0.195701,0.2500109,0.006267185,0.003660453,0.2103302,0.2647679,0.006967301,0.004888772,0,0.270048,0,0
0,240.048,0.2049382,0.2591593,0.006539443,0.003819881,0.2198297,0.2742495,0.007253726,0.005082098,0,0.2830107,0,0
0,249.6499,0.2138989,0.2679594,0.006803182,0.003975378,0.2290323,0.2833528,0.007530593,0.005269352,0,0.2959745,0,0
0,259.2519,0.2225953,0.2764312,0.007058859,0.004127203,0.2379521,0.2920997,0.007798444,0.005450955,0,0.3089395,0,0
0,268.8538,0.2310406,0.284595,0.007306942,0.004275608,0.2466041,0.3005121,0.008057824,0.005627312,0,0.3219062,0,0
0,278.4557,0.2392488,0.2924708,0.007547902,0.004420838,0.2550038,0.3086118,0.00830928,0.005798811,0,0.3348749,0,0
0,288.0576,0.2472338,0.3000779,0.007782203,0.004563125,0.2631664,0.31642,0.00855334,0.005965817,0,0.3478461,0,0
0,297.6595,0.2550096,0.3074352,0.008010292,0.004702689,0.2711072,0.3239569,0.008790516,0.006128675,0,0.3608202,0,0
0,307.2614,0.2625895,0.3145603,0.008232601,0.004839736,0.2788407,0.3312418,0.009021292,0.006287705,0,0.3737958,0,0
0,316.8634,0.2699867,0.3214689,0.008449536,0.00497446,0.2863809,0.3382912,0.00924612,0.006443204,0,0.3867714,0,0
0,326.4653,0.2772133,0.328175,0.008661472,0.00510704,0.2937406,0.3451208,0.009465422,0.006595447,0,0.3997471,0,0
0,336.0672,0.2842807,0.3346927,0.008868759,0.005237639,0.300932,0.3517458,0.009679586,0.006744683,0,0.412723,0,0
0,345.6691,0.2911997,0.3410352,0.009071727,0.005366407,0.3079667,0.3581807,0.009888977,0.006891143,0,0.4256992,0,0
0,355.2711,0.2979802,0.3472151,0.009270679,0.005493484,0.3148552,0.3644393,0.01009394,0.007035037,0,0.4386756,0,0
0,364.873,0.3046319,0.353244,0.009465901,0.005618997,0.3216078,0.3705344,0.01029478,0.00717656,0,0.4516524,0,0
0,374.4749,0.3111635,0.3591329,0.00965766,0.005743063,0.3282338,0.3764779,0.0104918,0.007315889,0,0.4646296,0,0
0,384.0768,0.3175835,0.3648921,0.009846199,0.005865789,0.334742,0.3822809,0.01068528,0.007453188,0,0.4776074,0,0
0,393.6787,0.3238995,0.370531,0.01003175,0.005987275,0.3411408,0.387954,0.01087547,0.007588606,0,0.4905858,0,0
0,403.2807,0.3301105,0.375801,0.01021424,0.006107623,0.3474117,0.3929957,0.01106169,0.007722314,0,0.5021245,0,0
0,412.8826,0.336089,0.3796346,0.01038964,0.006226819,0.3533445,0.3962606,0.01123705,0.007854089,0,0.5120619,0,0
0,422.4845,0.3415837,0.3813534,0.01055045,0.006344002,0.3586473,0.3971312,0.01139251,0.007982352,0,0.5207083,0,0
0,432.0864,0.34636,0.3811104,0.01069006,0.006457503,0.3631124,0.3960178,0.01152225,0.008104582,0,0.5288655,0,0
0,441.6883,0.3503266,0.379408,0.01080635,0.006565596,0.3666994,0.3934242,0.01162574,0.008218586,0,0.5365588,0,0
0,451.2903,0.3534809,0.3764973,0.01089959,0.006667184,0.3694259,0.3895251,0.01170387,0.008323141,0,0.5433774,0,0
0,460.8922,0.3558197,0.3723432,0.01096971,0.006761681,0.3712799,0.3843313,0.01175626,0.008417582,0,0.5497015,0,0
0,470.4941,0.3573474,0.3672377,0.01101691,0.006848584,0.3722858,0.3781966,0.01178382,0.008501299,0,0.5556656,0,0
0,480.096,0.3581116,0.3614424,0.01104269,0.006927572,0.3725086,0.3713816,0.01178867,0.008574029,0,0.56129,0,0
0,489.6979,0.3581786,0.3551369,0.011049,0.006998613,0.3720232,0.364069,0.01177312,0.008635907,0,0.566594,0,0
0,499.2999,0.3576174,0.3484548,0.01103782,0.007061885,0.3709034,0.3563969,0.01173939,0.008687309,0,0.5715957,0,0
0,508.9018,0.356494,0.3415028,0.01101103,0.007117672,0.3692191,0.3484764,0.01168953,0.008728726,0,0.5763125,0,0
0,518.5037,0.35487,0.3343694,0.01097037,0.007166299,0.3670347,0.3403992,0.01162547,0.008760698,0,0.5807608,0,0
0,528.1056,0.3528028,0.3271268,0.01091745,0.007208119,0.3644099,0.3322408,0.01154894,0.008783784,0,0.584956,0,0
0,537.7075,0.350345,0.3198325,0.01085376,0.007243508,0.3613991,0.3240607,0.01146156,0.008798563,0,0.5889114,0,0
0,547.3094,0.3475456,0.3125339,0.01078068,0.00727284,0.3580526,0.3159067,0.01136478,0.008805609,0,0.5926358,0,0
0,556.9114,0.3444505,0.3052715,0.01069948,0.00729651,0.3544175,0.3078218,0.01125996,0.00880551,0,0.5961505,0,0
0,566.5133,0.3410932,0.2980749,0.0106111,0.007314819,0.3505284,0.2998369,0.01114813,0.008798715,0,0.5994661,0,0
0,576.1152,0.3375081,0.2909718,0.0105165,0.007328094,0.3464209,0.29198,0.0110303,0.008785708,0,0.6025938,0,0
0,585.7172,0.3337301,0.2839874,0.01041665,0.007336683,0.3421309,0.2842764,0.01090751,0.008767003,0,0.6055449,0,0
0,595.3191,0.3297908,0.2771413,0.01031243,0.007340928,0.337691,0.2767458,0.01078069,0.008743098,0,0.6083298,0,0
0,604.921,0.3257185,0.2704485,0.01020461,0.007341156,0.3331301,0.2694028,0.01065066,0.008714464,0,0.6109586,0,0
0,614.5229,0.3215378,0.2639196,0.01009385,0.007337675,0.3284734,0.2622574,0.01051813,0.008681539,0,0.6134401,0,0
0,624.1248,0.3172725,0.2575637,0.009980815,0.007330791,0.323745,0.2553181,0.01038377,0.008644756,0,0.6157832,0,0
0,633.7267,0.3129432,0.2513865,0.009866049,0.007320792,0.3189663,0.2485896,0.01024817,0.008604523,0,0.6179957,0,0
0,643.3287,0.3085691,0.2453919,0.009750062,0.007307955,0.3141563,0.2420752,0.01011186,0.008561224,0,0.6200853,0,0
0,652.9306,0.3041671,0.2395818,0.009633305,0.007292545,0.3093323,0.2357756,0.009975301,0.008515223,0,0.6220591,0,0
0,662.5325,0.2997524,0.2339566,0.00951618,0.007274808,0.3045097,0.2296903,0.009838914,0.008466857,0,0.6239239,0,0
0,672.1344,0.2953387,0.2285155,0.009399042,0.007254982,0.2997021,0.2238172,0.009703065,0.008416451,0,0.6256858,0,0
0,681.7363,0.2909383,0.2232565,0.009282211,0.007233293,0.2949219,0.2181532,0.009568084,0.00836431,0,0.6273509,0,0
0,691.3383,0.2865622,0.2181771,0.00916597,0.007209951,0.2901801,0.2126947,0.009434247,0.00831071,0,0.6289245,0,0
0,700.9402,0.2822203,0.2132738,0.009050575,0.007185156,0.2854864,0.2074372,0.009301821,0.008255919,0,0.6304122,0,0
0,710.5421,0.2779211,0.208543,0.008936259,0.007159095,0.2808491,0.2023757,0.009171051,0.008200179,0,0.6318187,0,0
0,720.144,0.2736723,0.2039802,0.008823163,0.007131941,0.2762757,0.197505,0.009042015,0.008143716,0,0.6331487,0,0
0,729.746,0.2694802,0.199581,0.008711492,0.00710385,0.2717724,0.1928192,0.008914965,0.008086725,0,0.6344067,0,0
0,739.3478,0.2653504,0.1953404,0.008601542,0.007074959,0.2673444,0.1883124,0.00879037,0.008029372,0,0.6355969,0,0
0,748.9498,0.2612877,0.1912533,0.008493173,0.007045424,0.2629962,0.1839786,0.008667683,0.007971877,0,0.6367229,0,0
0,758.5517,0.257296,0.1873145,0.008386449,0.007015369,0.2587314,0.1798115,0.008546965,0.007914392,0,0.6377886,0,0
0,768.1536,0.2533784,0.1835188,0.008281709,0.00698489,0.254553,0.1758049,0.008429224,0.007856977,0,0.6387973,0,0
0,777.7556,0.2495377,0.1798609,0.008178867,0.006954098,0.2504632,0.1719525,0.008313747,0.00779982,0,0.6397524,0,0
0,787.3575,0.2457756,0.1763355,0.008077935,0.00692309,0.2464634,0.1682484,0.008200357,0.007743047,0,0.6406569,0,0
0,796.9594,0.2420937,0.1729375,0.007978923,0.006891956,0.2425548,0.1646863,0.008089572,0.007686716,0,0.6415138,0,0
0,806.5613,0.2384928,0.1696618,0.00788189,0.006860767,0.238738,0.1612605,0.00798129,0.00763092,0,0.6423256,0,0
0,816.1632,0.2349735,0.1665033,0.007786922,0.006829583,0.2350131,0.1579651,0.00787552,0.007575728,0,0.643095,0,0
0,825.7651,0.231536,0.1634573,0.00769407,0.006798458,0.2313798,0.1547945,0.007772342,0.007521189,0,0.6438245,0,0
0,835.3671,0.2281799,0.1605189,0.007603297,0.006767445,0.2278377,0.1517433,0.007671642,0.007467365,0,0.6445162,0,0
0,844.969,0.2249048,0.1576836,0.00751449,0.006736598,0.2243858,0.1488063,0.007573223,0.007414313,0,0.6451723,0,0
0,854.5709,0.22171,0.154947,0.007427705,0.00670595,0.2210229,0.1459782,0.007477325,0.00736205,0,0.6457949,0,0
0,864.1729,0.2185942,0.1523047,0.007342861,0.00667554,0.2177477,0.1432544,0.007383792,0.007310612,0,0.646386,0,0
0,873.7748,0.2155565,0.1497527,0.007259839,0.006645404,0.2145586,0.14063,0.007292263,0.007260047,0,0.6469471,0,0
0,883.3766,0.2125953,0.147287,0.007178837,0.006615547,0.2114541,0.1381006,0.007203328,0.007210316,0,0.6474802,0,0
0,892.9786,0.2097093,0.1449038,0.00709977,0.006585991,0.2084322,0.1356619,0.007116781,0.007161441,0,0.6479869,0,0
0,902.5805,0.2068968,0.1425995,0.00702217,0.006556783,0.2054908,0.1333098,0.007031426,0.007113524,0,0.6484685,0,0
0,912.1824,0.2041561,0.1403705,0.00694636,0.006527911,0.2026283,0.1310403,0.006948848,0.007066432,0,0.6489266,0,0
0,921.7844,0.2014855,0.1382137,0.006872833,0.006499338,0.1998424,0.1288496,0.006868836,0.007020166,0,0.6493624,0,0
0,931.3863,0.1988832,0.1361256,0.006800833,0.006471121,0.1971311,0.1267342,0.006790244,0.006974801,0,0.6497774,0,0
0,940.9882,0.1963472,0.1341035,0.00673016,0.006443285,0.1944922,0.1246906,0.006713352,0.006930332,0,0.6501726,0,0
0,950.5901,0.1938758,0.1321443,0.006661332,0.00641579,0.1919236,0.1227157,0.006638977,0.006886659,0,0.6505492,0,0
0,960.192,0.1914671,0.1302453,0.006594359,0.006388621,0.1894231,0.1208062,0.006566405,0.00684381,0,0.6509084,0,0
0,969.7939,0.1891191,0.1284038,0.0065286,0.006361824,0.1869887,0.1189592,0.006495236,0.00680181,0,0.651251,0,0
0,979.3959,0.18683,0.1266174,0.006464079,0.006335396,0.1846182,0.1171721,0.006425493,0.006760645,0,0.6515779,0,0
0,988.9978,0.184598,0.1248838,0.006401133,0.006309301,0.1823095,0.115442,0.006358,0.006720214,0,0.6518903,0,0
0,998.5997,0.1824213,0.1232005,0.006339926,0.00628351,0.1800607,0.1137664,0.00629217,0.006680532,0,0.6521889,0,0
0,1008.202,0.180298,0.1215655,0.006279818,0.006258066,0.1778697,0.1121429,0.006227498,0.006641625,0,0.6524744,0,0
0,1017.804,0.1782263,0.1199767,0.006220681,0.006232973,0.1757344,0.1105692,0.006164249,0.00660346,0,0.6527476,0,0
0,1027.406,0.1762047,0.1184321,0.006163271,0.006208159,0.1736532,0.1090432,0.006103068,0.006565945,0,0.6530094,0,0
0,1037.007,0.1742314,0.11693,0.006106989,0.00618365,0.171624,0.1075627,0.006042705,0.006529147,0,0.6532602,0,0
0,1046.609,0.1723046,0.1154684,0.006051659,0.006159458,0.169645,0.1061258,0.005983922,0.006493002,0,0.6535007,0,0
