"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,4.367452E-07,1.014965E-05,1.638372E-08,2.031479E-09,2.436019E-06,3.689279E-05,9.859255E-08,1.819366E-08,0,0.0002686428,0,0
0,12,2.205137E-05,0.0002026162,9.26879E-07,2.389128E-07,6.079675E-05,0.0003959381,2.710049E-06,8.93156E-07,0,0.001412705,0,0
0,18,0.0001504887,0.0009111705,6.466284E-06,2.356796E-06,0.0003065809,0.001406211,1.390333E-05,6.18998E-06,0,0.003493529,0,0
0,24,0.0005024909,0.002361298,2.162128E-05,9.598257E-06,0.0008649816,0.003225119,3.917001E-05,2.090085E-05,0,0.006389164,0,0
0,30,0.001174713,0.004627948,5.022989E-05,2.519149E-05,0.001819592,0.005887959,8.169423E-05,4.896173E-05,0,0.01004261,0,0
0,36,0.002234861,0.007711773,9.46279E-05,5.128513E-05,0.003225479,0.009374009,0.0001431176,9.257271E-05,0,0.01434929,0,0
0,42,0.003727168,0.01156486,0.0001559798,8.890928E-05,0.005114762,0.01362378,0.0002239191,0.0001524776,0,0.01921374,0,0
0,48,0.005676379,0.01611404,0.0002345311,0.000138201,0.007501698,0.01855819,0.0003237453,0.0002283344,0,0.02451306,0,0
0,54,0.008089758,0.02124973,0.0003297881,0.0001986666,0.01037964,0.02404657,0.0004413993,0.0003190349,0,0.03007182,0,0
