"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,9.012719E-07,1.970281E-05,3.432766E-08,4.426144E-09,4.78022E-06,6.736213E-05,1.964768E-07,3.760269E-08,0,0.0004533039,0,0
0,12,3.696457E-05,0.0003254341,1.564453E-06,4.17321E-07,9.845353E-05,0.0006133164,4.415634E-06,1.503676E-06,0,0.002065503,0,0
0,18,0.0002280879,0.001341569,9.821783E-06,3.673667E-06,0.0004543066,0.002038106,2.062539E-05,9.402717E-06,0,0.004950074,0,0
0,24,0.000725743,0.003341476,3.120548E-05,1.405157E-05,0.00123169,0.004490827,5.569163E-05,3.012532E-05,0,0.008499402,0,0
0,30,0.001630713,0.006222564,6.953249E-05,3.5354E-05,0.002479278,0.007758975,0.0001108904,6.759862E-05,0,0.01254672,0,0
0,36,0.002968143,0.009858678,0.0001250554,6.881606E-05,0.004201114,0.01179934,0.0001852808,0.0001220125,0,0.01736408,0,0
0,42,0.004766989,0.01427957,0.0001981766,0.0001143218,0.006441331,0.01665914,0.0002798457,0.0001930338,0,0.02279132,0,0
0,48,0.007061861,0.01940846,0.0002895162,0.0001718007,0.009219528,0.0221842,0.00039446,0.0002804002,0,0.02852579,0,0
0,54,0.009850185,0.02512056,0.0003980972,0.000240617,0.01251624,0.0283108,0.0005272517,0.000382613,0,0.03480982,0,0
0,60,0.01313266,0.03144163,0.0005231276,0.0003196797,0.01634711,0.03511876,0.000677987,0.0004981743,0,0.04179195,0,0
0,66,0.01693607,0.03843048,0.0006648962,0.0004083221,0.02075028,0.04261618,0.0008474063,0.0006264465,0,0.04907671,0,0
0,72,0.0212724,0.04596148,0.0008231546,0.0005061555,0.02571016,0.05063038,0.00103412,0.0007666424,0,0.05659797,0,0
0,78,0.02611507,0.05392997,0.0009962694,0.0006122612,0.0311862,0.05911053,0.001235888,0.0009170606,0,0.06450186,0,0
0,84,0.03143925,0.06232019,0.001182854,0.000725452,0.03715775,0.06803059,0.001451516,0.001076067,0,0.072569,0,0
0,90,0.03721666,0.07101838,0.001381597,0.0008447107,0.04357903,0.0772258,0.001679089,0.001242242,0,0.08063844,0,0
0,96,0.04339023,0.07987794,0.001590332,0.0009689135,0.05037357,0.08656107,0.001915723,0.001413825,0,0.08871343,0,0
0,102,0.0498913,0.08880089,0.001806674,0.001096763,0.05746608,0.09594864,0.002158808,0.00158896,0,0.09678991,0,0
0,108,0.05665351,0.09772094,0.002028485,0.001227021,0.06478844,0.1053264,0.002406163,0.001766005,0,0.1048672,0,0
0,114,0.06361635,0.1065919,0.002253938,0.001358637,0.07228029,0.1146501,0.002655978,0.001943618,0,0.1129462,0,0
0,120,0.0707262,0.1153812,0.002481504,0.001490762,0.07988904,0.123887,0.002906766,0.002120739,0,0.1210281,0,0
0,126,0.07793634,0.1240652,0.002709919,0.001622729,0.08756944,0.1330128,0.003157307,0.002296552,0,0.1291146,0,0
0,132,0.08520661,0.1326265,0.002938143,0.001754022,0.09528293,0.1420091,0.003406616,0.002470437,0,0.1372058,0,0
0,138,0.09250273,0.1410514,0.003165331,0.001884246,0.1029968,0.15086,0.003653892,0.00264193,0,0.1452975,0,0
0,144,0.09979547,0.1493275,0.003390786,0.002013102,0.1106832,0.1595518,0.003898478,0.002810689,0,0.1533892,0,0
0,150,0.1070599,0.1574456,0.003613939,0.002140366,0.1183185,0.168074,0.004139841,0.002976465,0,0.1614813,0,0
0,156,0.1142752,0.1653987,0.003834332,0.002265869,0.1258831,0.1764193,0.004377565,0.003139084,0,0.1695738,0,0
0,162,0.1214243,0.1731825,0.004051608,0.002389494,0.1333615,0.1845823,0.004611333,0.003298434,0,0.1776668,0,0
0,168,0.1284932,0.180794,0.00426549,0.00251116,0.1407409,0.1925599,0.004840909,0.003454452,0,0.1857607,0,0
0,174,0.1354706,0.1882321,0.004475774,0.002630818,0.1480114,0.2003504,0.005066128,0.003607117,0,0.1938555,0,0
0,180,0.1423479,0.1954967,0.004682316,0.002748446,0.1551655,0.2079536,0.005286885,0.00375644,0,0.2019517,0,0
0,186,0.1491186,0.2025889,0.004885028,0.002864045,0.1621978,0.2153705,0.005503126,0.003902459,0,0.2100494,0,0
0,192,0.1557782,0.2095108,0.005083861,0.002977632,0.1691047,0.2226031,0.005714841,0.004045232,0,0.2181483,0,0
0,198,0.1623234,0.2162646,0.005278804,0.003089236,0.175884,0.2296536,0.005922048,0.004184833,0,0.2262473,0,0
0,204,0.1687524,0.2228529,0.005469872,0.003198898,0.1825346,0.2365246,0.006124794,0.004321347,0,0.2343463,0,0
0,210,0.1750643,0.2292789,0.0056571,0.003306666,0.1890564,0.2432193,0.006323142,0.004454867,0,0.2424454,0,0
0,216,0.1812591,0.2355461,0.005840543,0.003412592,0.1954502,0.2497419,0.006517175,0.004585493,0,0.2505446,0,0
0,222,0.1873375,0.2416587,0.006020274,0.003516735,0.2017173,0.2560965,0.006706992,0.004713326,0,0.258644,0,0
0,228,0.1933011,0.247621,0.006196374,0.003619154,0.2078599,0.2622881,0.006892702,0.00483847,0,0.2667436,0,0
0,234,0.1991516,0.2534375,0.006368938,0.003719911,0.2138804,0.2683214,0.007074423,0.004961032,0,0.2748434,0,0
0,240,0.2048915,0.2591132,0.006538067,0.003819069,0.2197817,0.2742017,0.007252281,0.005081118,0,0.2829436,0,0
0,246,0.2105233,0.2646527,0.006703867,0.003916692,0.225567,0.2799343,0.007426403,0.005198832,0,0.2910442,0,0
0,252,0.21605,0.2700611,0.00686645,0.004012842,0.2312397,0.2855243,0.007596924,0.005314277,0,0.2991453,0,0
0,258,0.2214747,0.2753432,0.007025928,0.004107583,0.2368034,0.2909774,0.007763974,0.005427555,0,0.3072468,0,0
0,264,0.2268007,0.2805041,0.007182417,0.004200976,0.2422617,0.2962987,0.007927691,0.005538765,0,0.315349,0,0
0,270,0.2320313,0.2855486,0.007336031,0.004293082,0.2476184,0.3014937,0.008088205,0.005648002,0,0.323452,0,0
0,276,0.23717,0.2904816,0.007486888,0.004383959,0.2528773,0.3065676,0.008245652,0.005755361,0,0.3315557,0,0
