"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,3.854502E-07,9.068968E-06,1.441729E-08,1.777574E-09,2.171206E-06,3.346565E-05,8.756584E-08,1.604991E-08,0,0.0002497667,0,0
0,12,2.05775E-05,0.0001917436,8.631397E-07,2.201748E-07,5.734938E-05,0.0003787542,2.551589E-06,8.324169E-07,0,0.001376603,0,0
0,18,0.0001448973,0.000886125,6.221068E-06,2.249151E-06,0.0002972824,0.001375022,1.347367E-05,5.953246E-06,0,0.003456161,0,0
0,24,0.0004918933,0.00232943,2.116E-05,9.340928E-06,0.0008508901,0.003192397,3.852751E-05,2.044415E-05,0,0.006368427,0,0
0,30,0.001161149,0.004597292,4.965046E-05,2.480861E-05,0.001803703,0.005857247,8.09891E-05,4.837193E-05,0,0.01002381,0,0
0,36,0.002219872,0.007683441,9.400052E-05,5.083912E-05,0.003208819,0.009346024,0.000142396,9.192965E-05,0,0.01433367,0,0
0,42,0.003711655,0.01153965,0.0001553427,8.844242E-05,0.005098109,0.01359927,0.0002232134,0.0001518283,0,0.01920138,0,0
0,48,0.005661075,0.01609254,0.0002339138,0.0001377413,0.007485728,0.01853763,0.0003230826,0.0002277115,0,0.0245039,0,0
0,54,0.008075256,0.02123218,0.0003292132,0.0001982328,0.01036488,0.02403006,0.0004407989,0.0003184599,0,0.03006501,0,0
0,60,0.01093909,0.0268315,0.0004398956,0.0002688858,0.01370673,0.0299706,0.0005743434,0.000422254,0,0.03592338,0,0
0,66,0.01423031,0.0328258,0.0005644542,0.0003483672,0.01748848,0.03631816,0.0007221483,0.0005371541,0,0.04210048,0,0
0,72,0.01793253,0.03918839,0.0007017477,0.0004354804,0.02169605,0.04305475,0.0008831548,0.0006615967,0,0.04859187,0,0
0,78,0.0220336,0.04590181,0.0008508942,0.0005292887,0.02631765,0.05016426,0.001056489,0.0007943658,0,0.05537951,0,0
0,84,0.02652183,0.05294697,0.001011108,0.0006290389,0.03133987,0.05762631,0.001241298,0.000934448,0,0.062439,0,0
0,90,0.03138344,0.06030023,0.001181602,0.0007340715,0.03674585,0.06541521,0.00143668,0.001080922,0,0.06974313,0,0
0,96,0.03660125,0.06793347,0.001361548,0.0008437673,0.04251456,0.07350052,0.001641675,0.001232911,0,0.07726418,0,0
0,102,0.04215428,0.0758153,0.001550066,0.0009575221,0.04862094,0.08184855,0.001855255,0.001389554,0,0.08497535,0,0
0,108,0.0480181,0.08391237,0.001746233,0.001074741,0.05503653,0.09042358,0.002076373,0.001550016,0,0.09285139,0,0
0,114,0.05416536,0.09219038,0.001949099,0.001194848,0.06173025,0.09918892,0.002303946,0.001713493,0,0.1008689,0,0
0,120,0.0605665,0.1006126,0.00215771,0.001317285,0.06866895,0.1080939,0.002536908,0.001879217,0,0.1088739,0,0
0,126,0.06718446,0.1090649,0.002370928,0.001441514,0.07580146,0.1169797,0.002773642,0.002046412,0,0.1167746,0,0
0,132,0.07396355,0.1174559,0.002587058,0.001566882,0.08306315,0.1258057,0.0030121,0.002214064,0,0.1247296,0,0
0,138,0.08085537,0.1257816,0.002804699,0.00169267,0.09041236,0.13457,0.003251113,0.002381232,0,0.1327197,0,0
0,144,0.08782481,0.1340346,0.003022927,0.001818312,0.0978172,0.1432592,0.00348987,0.002547258,0,0.1407391,0,0
0,150,0.09484273,0.1422034,0.003241014,0.00194341,0.1052498,0.1518591,0.003727679,0.002711679,0,0.1487796,0,0
0,156,0.1018834,0.1502742,0.003458331,0.002067663,0.112685,0.1603527,0.003963925,0.002874146,0,0.1568311,0,0
0,162,0.1089239,0.1582319,0.003674332,0.002190841,0.1201001,0.1687219,0.00419806,0.003034389,0,0.164884,0,0
0,168,0.1159435,0.1660602,0.00388853,0.002312761,0.1274744,0.1769485,0.004429592,0.003192196,0,0.1729292,0,0
0,174,0.1229233,0.1737435,0.004100485,0.002433271,0.1347893,0.1850146,0.00465808,0.003347394,0,0.180958,0,0
0,180,0.1298462,0.1812665,0.004309805,0.002552246,0.1420275,0.1929032,0.004883126,0.003499845,0,0.1889611,0,0
0,186,0.1366966,0.1886138,0.004516131,0.002669577,0.1491736,0.2005968,0.005104369,0.003649433,0,0.1969268,0,0
0,192,0.1434599,0.19577,0.004719139,0.002785177,0.1562132,0.208078,0.005321478,0.003796068,0,0.2048466,0,0
0,198,0.1501231,0.2027201,0.004918525,0.00289897,0.163133,0.2153308,0.005534146,0.003939676,0,0.2127124,0,0
0,204,0.1566738,0.2094496,0.005114016,0.003010893,0.1699209,0.2223368,0.005742094,0.004080195,0,0.2204932,0,0
0,210,0.1631,0.2159302,0.005305333,0.003120891,0.1765633,0.2290563,0.005944991,0.004217577,0,0.2281433,0,0
0,216,0.1693873,0.2221238,0.005492115,0.003228909,0.1830434,0.2354503,0.006142383,0.004351756,0,0.2356575,0,0
0,222,0.1755196,0.2280007,0.005673949,0.003334872,0.1893437,0.2414907,0.006333807,0.004482639,0,0.2430318,0,0
0,228,0.1814812,0.2335409,0.005850434,0.003438694,0.1954486,0.2471585,0.006518851,0.00461012,0,0.2502629,0,0
0,234,0.1872581,0.2387309,0.006021217,0.003540283,0.2013446,0.2524411,0.006697172,0.004734098,0,0.2573481,0,0
0,240,0.1928383,0.243562,0.006186001,0.003639558,0.2070205,0.2573307,0.006868494,0.004854484,0,0.2642851,0,0
0,246,0.1982117,0.248029,0.006344548,0.003736448,0.2124671,0.2618228,0.007032599,0.004971213,0,0.2710724,0,0
0,252,0.2033703,0.2521296,0.006496668,0.003830901,0.2176772,0.2659159,0.007189324,0.005084239,0,0.2777087,0,0
0,258,0.2083076,0.255864,0.006642215,0.003922874,0.2226453,0.2696114,0.007338549,0.005193528,0,0.2841934,0,0
