"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,3.525104E-05,0.0006079145,1.427551E-06,2.140011E-07,0.0001539851,0.001593268,6.692128E-06,1.479137E-06,0,0.007433788,0,0
0,12,0.0006337644,0.004533192,2.717059E-05,8.391183E-06,0.001437446,0.007303737,6.484616E-05,2.537826E-05,0,0.01868708,0,0
0,18,0.002511813,0.01233135,0.0001064803,4.407304E-05,0.00442402,0.01673702,0.0001961107,9.861827E-05,0,0.03140556,0,0
0,24,0.005958732,0.02321046,0.0002464427,0.0001180694,0.009175296,0.02908972,0.0003952415,0.0002268087,0,0.04582867,0,0
0,30,0.01105525,0.03681357,0.0004443251,0.0002291056,0.01574485,0.04428117,0.0006573682,0.0004035736,0,0.06202283,0,0
0,36,0.01788166,0.0528897,0.0006980332,0.0003723739,0.0241843,0.06189592,0.0009792106,0.0006216005,0,0.07875621,0,0
0,42,0.02640687,0.07093374,0.001002305,0.0005423952,0.03437268,0.08153702,0.001352116,0.0008724064,0,0.09641004,0,0
0,48,0.03652693,0.09075296,0.001350565,0.0007331124,0.04618255,0.1030783,0.001769053,0.001147519,0,0.1146175,0,0
0,54,0.04811284,0.1120354,0.001736828,0.0009392057,0.05943589,0.1260754,0.002222814,0.001439951,0,0.132829,0,0
0,60,0.06096159,0.1343518,0.002153763,0.00115604,0.07387161,0.1501144,0.002704356,0.001743353,0,0.1510535,0,0
0,66,0.07483552,0.1573934,0.002593806,0.001379407,0.08922911,0.1749041,0.003205564,0.002052126,0,0.169283,0,0
0,72,0.08950475,0.1809355,0.003050297,0.001605773,0.1052733,0.2002182,0.003719743,0.002361788,0,0.1875143,0,0
0,78,0.1047616,0.2048039,0.003517647,0.001832385,0.1217986,0.2258753,0.004241419,0.002668961,0,0.2057492,0,0
0,84,0.1204251,0.2288591,0.003991251,0.002057191,0.1386302,0.2517256,0.004766165,0.002971189,0,0.2239906,0,0
0,90,0.1363413,0.2529867,0.004467372,0.00227871,0.1556218,0.2776441,0.005290434,0.003266752,0,0.2422422,0,0
